GEOID,Borough,NTA,p_college_pop_2000
36047005900,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.05869908911962911
36047006000,Brooklyn,Bay Ridge,0.2438732845388345
36047006200,Brooklyn,Bay Ridge,0.22999984089542358
36047006300,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.4324780563735548
36047006400,Brooklyn,Bay Ridge,0.2556292923294098
36047006500,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.43341146805057046
36047006600,Brooklyn,Bay Ridge,0.21996462669109
36047006700,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.5488698287515452
36047006800,Brooklyn,Bay Ridge,0.16025933689022795
36047006900,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.44217598757798565
36047007000,Brooklyn,Bay Ridge,0.18346738830666842
36047007100,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.126667087572769
36047007200,Brooklyn,Sunset Park West,0.07166316229898335
36047007400,Brooklyn,Sunset Park West,0.05190940582466221
36047007500,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.49255660642070537
36047007600,Brooklyn,Sunset Park West,0.06685755103720493
36047007700,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.3339752420172494
36047007800,Brooklyn,Sunset Park West,0.048353886460805934
36047008000,Brooklyn,Sunset Park West,0.06194112484627544
36047008200,Brooklyn,Sunset Park West,0.08629556522400168
36047008400,Brooklyn,Sunset Park West,0.08961599319117794
36047008500,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,0.017759845554063187
36047008800,Brooklyn,Sunset Park East,0.09053121186587608
36047009000,Brooklyn,Sunset Park East,0.040325940154361126
36047009200,Brooklyn,Sunset Park East,0.08298150846580597
36047009400,Brooklyn,Sunset Park East,0.08664451670519388
36047009600,Brooklyn,Sunset Park East,0.06307622349412667
36047009800,Brooklyn,Sunset Park East,0.04109748360554525
36047010000,Brooklyn,Sunset Park East,0.04414388008024241
36047010100,Brooklyn,Sunset Park West,0.06421702232871904
36047010200,Brooklyn,Sunset Park East,0.05451858131225917
36047010400,Brooklyn,Sunset Park East,0.07611789560925916
